"","long","lat","station","cmaq"
"1",-85.802,33.281,50.25,51.4655
"2",-87.651,34.761,55.88,60.6771
"3",-86.137,32.498,51.63,57.432
"4",-86.054,33.904,57.38,58.9897
"5",-85.423,31.19,56.88,60.3251
"6",-86.815,33.553,55.13,59.8209
"7",-86.915,33.486,45.37,57.0446
"8",-87.004,33.331,56.25,54.9484
"9",-87.306,33.46,48.25,58.2299
"10",-86.549,33.545,59.75,62.7739
"11",-86.817,33.386,56.75,57.7663
"12",-86.669,33.705,52.13,62.6428
"13",-86.942,33.802,50.75,57.6094
"14",-86.774,33.578,51.87,61.2493
"15",-87.34,34.343,49.25,57.144
"16",-86.583,34.691,66.38,58.3742
"17",-88.088,30.77,66.63,70.5717
"18",-88.141,30.474,53.38,55.9413
"19",-86.256,32.407,57.13,58.0905
"20",-86.977,34.519,56.25,55.4182
"21",-85.084,32.468,48.5,52.8542
"22",-86.825,33.317,53.63,53.9184
"23",-88.202,32.364,45.25,56.8727
"24",-86.123,33.498,49.38,56.7202
"25",-87.46,33.09,53.5,57.4942
"26",-90.191,35.197,72.5,66.2375
"27",-90.246,35.334,70.13,66.0046
"28",-90.451,35.278,73.5,66.7714
"29",-93.219,35.833,54.14,56.999
"30",-94.143,34.454,65.57,55.4977
"31",-92.276,34.756,74.62,60.7317
"32",-92.259,34.831,68.88,60.7106
"33",-92.337,34.676,62.38,58.5134
"34",-73.585,41.004,38.25,45.0622
"35",-73.445,41.401,24.38,45.7145
"36",-73.104,41.152,31.38,36.897
"37",-73.337,41.119,27,47.741
"38",-72.63,41.784,28.25,32.4236
"39",-73.296,41.82,28.88,38.5859
"40",-72.631,41.552,25.38,34.9222
"41",-72.903,41.301,20.13,37.4301
"42",-72.551,41.258,31.13,37.0286
"43",-72.063,41.315,34.13,35.8065
"44",-72.387,41.976,31.13,38.9996
"45",-75.556,38.985,46.25,48.22
"46",-75.731,39.551,40.25,46.2401
"47",-75.564,39.817,36.75,45.3034
"48",-75.496,39.774,35.75,44.1844
"49",-75.613,38.644,52.62,51.7902
"50",-75.163,38.779,43.13,49.6477
"51",-77.023,38.975,46.75,50.6618
"52",-76.953,38.897,37.75,48.5314
"53",-77.012,38.919,49.5,48.5314
"54",-82.491,29.684,57.13,59.3361
"55",-82.297,29.547,54.63,57.7742
"56",-82.445,30.198,49.75,56.457
"57",-85.732,30.131,54.5,57.3642
"58",-80.629,28.054,51.38,50.9662
"59",-80.616,28.311,53.25,53.3139
"60",-80.295,26.272,46.5,53.0596
"61",-80.097,26.29,46,47.5632
"62",-80.111,26.087,47.25,43.007
"63",-81.711,26.27,42.63,50.0838
"64",-82.619,30.178,55.5,55.1132
"65",-81.588,30.478,52.38,49.615
"66",-81.454,30.261,54.25,52.1963
"67",-87.204,30.525,58.88,56.9654
"68",-87.271,30.368,52.63,57.1606
"69",-87.276,30.399,51.88,55.334
"70",-81.341,27.189,54.5,49.9513
"71",-82.465,27.74,58.38,56.7477
"72",-82.162,27.781,60,56.8627
"73",-82.455,27.928,57.88,53.2185
"74",-82.539,27.892,65.5,56.9335
"75",-82.23,27.966,55.88,58.0193
"76",-82.126,27.993,55.25,60.1609
"77",-85.604,30.847,51.5,57.0422
"78",-81.723,28.525,55.13,58.6928
"79",-81.98,26.548,51.75,50.8304
"80",-81.939,26.449,54.38,55.1852
"81",-84.348,30.44,53.38,59.4463
"82",-84.199,30.484,52.5,56.967
"83",-82.546,27.633,56.88,59.741
"84",-82.619,27.481,59.5,60.4833
"85",-82.522,27.449,56.5,55.3112
"86",-82.101,29.17,54.13,53.5632
"87",-82.173,29.192,55.13,54.6014
"88",-80.162,25.733,64.75,68.492
"89",-80.327,25.586,43.75,60.0962
"90",-81.381,28.454,54.25,55.5014
"91",-81.363,28.599,53,55.205
"92",-81.637,28.347,54.63,62.4685
"93",-80.061,26.591,23.88,47.7532
"94",-82.306,28.332,57.75,54.209
"95",-82.758,28.195,53.5,55.9948
"96",-82.732,27.946,51,56.2382
"97",-82.74,27.786,52.25,59.2833
"98",-82.701,28.09,53.63,54.6739
"99",-82,27.939,59,60.127
"100",-81.972,28.029,52.37,59.179
"101",-80.408,27.449,32.25,50.1963
"102",-87.008,30.394,52,56.429
"103",-82.571,27.307,59.5,59.1716
"104",-82.48,27.35,59.13,56.2705
"105",-82.363,27.089,59.75,51.1653
"106",-81.31,28.746,52.5,52.9519
"107",-80.994,29.109,50.38,52.4636
"108",-81.053,29.207,48.13,53.478
"109",-84.162,30.093,48.5,56.2507
"110",-83.545,32.803,56.88,56.5401
"111",-83.789,32.828,50.25,53.1283
"112",-81.049,32.068,53.63,56.0974
"113",-85.408,34.474,51.63,54.5072
"114",-83.357,33.924,56.87,61.1758
"115",-84.607,34.014,51.75,56.8678
"116",-82.131,33.582,54.13,51.3573
"117",-84.746,33.404,47.25,55.8941
"118",-84.056,34.378,52.25,54.9448
"119",-84.29,33.688,48.13,59.8075
"120",-84.214,33.848,55,59.2084
"121",-84.779,33.743,56.5,54.3503
"122",-84.42,33.456,47.63,56.8419
"123",-84.358,33.721,53.63,59.8075
"124",-81.496,31.169,47,55.5212
"125",-84.066,33.964,58.38,61.385
"126",-84.162,33.435,47.62,54.6131
"127",-84.627,34.785,53.75,55.8829
"128",-84.944,32.521,54.87,57.2319
"129",-84.843,32.539,51.75,57.3114
"130",-85.045,33.928,51.75,55.4803
"131",-82.022,33.433,54.75,48.7809
"132",-84.067,33.586,46.88,58.0551
"133",-84.079,31.953,52.63,52.8573
"134",-91.404,39.933,52.88,51.9923
"135",-88.229,40.124,56.38,59.3792
"136",-87.668,39.211,51.25,56.6891
"137",-87.732,41.671,56.87,49.753
"138",-87.545,41.756,53.13,44.227
"139",-87.602,41.791,52.5,44.227
"140",-87.607,41.896,51.25,42.933
"141",-87.714,41.751,57.25,45.24
"142",-87.792,41.984,53.13,46.1717
"143",-87.991,41.668,56.25,50.9113
"144",-87.753,41.855,52.88,46.1424
"145",-87.863,42.06,48.25,51.4604
"146",-87.799,42.14,49.37,51.4604
"147",-87.674,42.062,52,51.4136
"148",-88.073,41.813,50.75,51.2401
"149",-88.549,39.067,53,57.3363
"150",-88.625,38.084,56.5,57.1214
"151",-90.324,39.11,54.5,55.7454
"152",-88.273,42.049,50.88,51.6775
"153",-87.841,42.387,49.88,50.7006
"154",-87.81,42.468,54,50.7006
"155",-88.242,42.221,52.25,51.5546
"156",-88.997,40.519,57.5,58.8342
"157",-88.926,39.867,58.13,57.87
"158",-89.809,39.396,56.63,54.9186
"159",-90.148,38.89,55.13,56.8494
"160",-89.96,38.726,55.38,59.6953
"161",-90.106,38.861,53.75,56.8494
"162",-89.607,40.687,53.38,55.4559
"163",-89.586,40.745,54.25,55.4559
"164",-89.788,38.176,47.38,61.6156
"165",-90.517,41.515,47.25,54.2474
"166",-90.16,38.612,52,60.9366
"167",-89.605,39.844,56.13,56.4334
"168",-88.191,41.222,57.75,57.7216
"169",-89.077,42.287,48.87,50.9647
"170",-89.038,42.335,45.75,50.9647
"171",-85.017,41.222,51.75,45.9915
"172",-85.102,41.095,52.75,45.4728
"173",-86.395,39.997,66.63,52.3788
"174",-86.553,40.541,63.13,53.5001
"175",-85.69,38.377,59.38,45.0332
"176",-85.246,40.3,70.63,49.212
"177",-85.831,41.718,64.38,47.1064
"178",-85.834,38.308,58.63,48.4521
"179",-86.99,38.986,63.75,56.2718
"180",-86.001,40.056,65.63,43.5823
"181",-85.841,39.935,63.25,48.1575
"182",-86.397,39.759,64,52.8667
"183",-85.38,40.961,62.75,50.8353
"184",-86.081,38.921,64.25,49.4197
"185",-86.152,39.417,62.25,51.0907
"186",-87.305,41.607,48.88,33.4656
"187",-87.495,41.681,63.25,40.1106
"188",-87.494,41.639,61,40.1106
"189",-86.908,41.717,65.75,54.7674
"190",-85.657,40.002,64.38,47.2032
"191",-86.249,39.646,61.62,51.713
"192",-86.021,39.859,63.75,42.9497
"193",-86.186,39.749,64.13,47.2907
"194",-86.061,39.789,61.62,43.4524
"195",-86.478,39.576,62.75,53.8665
"196",-86.604,38.113,64.13,60.8462
"197",-87.199,41.618,63.63,27.1222
"198",-87.039,41.51,62.38,52.1104
"199",-87.718,38.005,57.13,57.1931
"200",-86.371,41.552,64.38,55.9053
"201",-86.111,41.743,65,51.8806
"202",-86.237,41.694,64.88,52.5689
"203",-85.874,39.611,63.5,48.3107
"204",-87.569,38.022,60.5,57.1791
"205",-87.537,38.114,44.5,57.7977
"206",-87.401,39.486,49.13,53.964
"207",-87.313,39.561,59.87,53.2008
"208",-87.278,38.052,60.25,58.537
"209",-87.341,38.194,57.5,59.2543
"210",-87.322,37.954,60.62,55.7226
"211",-92.513,42.743,50.13,52.2581
"212",-90.177,41.875,46,51.98
"213",-95.946,41.782,49.25,53.5189
"214",-91.652,41.911,44.88,51.6155
"215",-91.527,42.281,50.13,52.3238
"216",-95.044,40.971,40.25,54.1076
"217",-94.693,43.123,44.13,52.5645
"218",-93.572,41.608,52.88,50.8697
"219",-90.522,41.699,52.87,54.0643
"220",-90.431,41.647,53.13,54.2782
"221",-93.696,41.881,46.5,54.387
"222",-92.006,40.695,54.5,53.3319
"223",-95.224,39.004,57.13,52.2877
"224",-94.746,38.839,66.25,55.9008
"225",-94.951,39.327,56.38,51.7428
"226",-94.732,38.136,64.25,57.9017
"227",-97.337,37.781,54.5,59.2726
"228",-97.314,37.701,65.5,58.8382
"229",-97.366,37.477,61.5,56.9492
"230",-94.636,39.118,52.75,48.3883
"231",-83.737,36.608,53.63,51.84
"232",-84.853,38.918,59.87,51.5526
"233",-82.641,38.459,55.13,53.9357
"234",-84.452,39.066,58.75,42.1456
"235",-82.988,38.238,43,54.3204
"236",-87.324,36.912,59.25,54.9067
"237",-87.076,37.781,58.75,57.2701
"238",-86.148,37.131,56.13,51.7889
"239",-84.468,38.126,40.75,56.0374
"240",-84.5,38.065,54.13,56.0374
"241",-82.732,38.548,47.75,55.2397
"242",-86.897,37.939,56.25,60.8136
"243",-85.852,37.706,54.12,48.1277
"244",-87.463,37.871,57.88,56.8498
"245",-85.578,38.137,55.25,48.8171
"246",-85.896,38.061,50.63,54.4524
"247",-85.712,38.264,54.63,42.5355
"248",-84.589,37.893,54.88,56.4041
"249",-84.525,39.072,54.75,41.0299
"250",-88.393,37.156,59.5,58.7292
"251",-88.573,37.058,55.38,55.9923
"252",-87.254,37.606,57.5,55.9779
"253",-86.956,37.32,52.87,54.6549
"254",-85.443,38.399,63,52.3833
"255",-83.22,37.283,46.5,55.5463
"256",-82.535,37.483,40.25,56.4124
"257",-84.612,37.097,54.13,51.7734
"258",-86.566,36.709,59,55.2056
"259",-88.014,36.901,58.63,56.1723
"260",-86.251,37.037,53.13,51.8993
"261",-93.144,30.492,74.88,70.3756
"262",-93.75,32.534,90.25,71.6497
"263",-93.372,30.143,90.5,84.4693
"264",-93.284,30.262,77.13,90.1176
"265",-93.578,30.228,90.88,86.0551
"266",-91.183,30.419,98.75,87.524
"267",-91.177,30.461,86,74.4336
"268",-91.056,30.7,72.13,72.806
"269",-91.207,30.587,97,83.1141
"270",-92.46,31.502,66.75,61.3719
"271",-91.425,30.4,88.63,86.7191
"272",-91.316,30.221,70.25,88.6201
"273",-91.13,30.207,85.63,80.9155
"274",-90.275,30.043,74.25,85.998
"275",-92.051,30.218,83.25,83.4147
"276",-90.765,29.764,70.13,68.8107
"277",-90.813,30.313,77.88,78.5311
"278",-90.103,29.994,66.63,70.9369
"279",-92.046,32.51,75.62,68.3097
"280",-91.367,30.685,106.63,81.845
"281",-89.999,29.982,69.75,69.8859
"282",-90.411,29.984,80.88,82.6944
"283",-90.82,29.994,70.13,76.7895
"284",-90.608,30.058,84.37,57.6701
"285",-91.21,29.715,78,66.6409
"286",-91.21,30.502,97.5,74.4336
"287",-70.125,43.977,25.13,42.8521
"288",-70.266,43.662,31.13,43.5422
"289",-70.208,43.561,33.88,43.5422
"290",-68.227,44.352,38.13,46.7975
"291",-68.261,44.377,35.13,46.1452
"292",-68.806,44.423,33.25,45.4817
"293",-69.786,44.23,32,43.1036
"294",-69.262,43.917,35.88,44.1821
"295",-70.856,44.222,36.75,42.2532
"296",-68.678,44.735,32.5,44.5086
"297",-69.732,43.795,32.87,44.0028
"298",-67.594,44.534,35,46.619
"299",-67.06,44.965,34.63,46.0621
"300",-70.62,43.659,36.75,43.0461
"301",-70.692,43.225,35.38,44.1036
"302",-70.471,43.343,36.25,45.2404
"303",-70.75,43.083,32.63,36.9319
"304",-76.653,38.903,29.38,48.6071
"305",-76.631,39.461,41,45.7019
"306",-76.474,39.311,44.88,46.3187
"307",-76.617,38.537,49.88,51.0478
"308",-77.042,39.444,43.75,46.1702
"309",-75.86,39.701,37.38,45.8388
"310",-76.812,38.504,38.5,52.4436
"311",-77.376,39.408,45.5,45.4149
"312",-76.297,39.41,43.13,46.912
"313",-76.204,39.563,36.75,47.5471
"314",-75.797,39.305,41.75,47.7343
"315",-77.107,39.114,28.13,49.6859
"316",-76.744,38.812,50,49.8926
"317",-77.722,39.566,45.5,49.3435
"318",-70.025,41.976,38.5,41.0926
"319",-73.169,42.637,31.63,35.756
"320",-70.881,41.635,38.71,39.1095
"321",-70.973,42.474,35.25,34.3773
"322",-70.809,42.789,36.57,34.8755
"323",-71.106,42.763,29.88,35.249
"324",-72.556,42.194,32.75,37.0394
"325",-72.524,42.4,28.87,36.9902
"326",-71.362,42.627,32.13,35.8447
"327",-71.486,42.414,29.88,37.2879
"328",-71.115,42.212,35.13,34.6915
"329",-70.969,42.317,32.57,32.8839
"330",-71.083,42.329,28.87,30.1966
"331",-71.876,42.274,32.25,37.2116
"332",-86.149,42.768,60.13,55.5163
"333",-86.109,44.617,58.75,57.9604
"334",-86.31,42.198,62.25,57.3931
"335",-86.002,41.896,60.63,53.384
"336",-84.394,42.798,46.38,50.7825
"337",-83.462,43.168,50.5,50.9961
"338",-82.643,43.836,40.63,54.1125
"339",-84.536,42.737,48.63,44.4185
"340",-85.542,42.278,44.63,46.1355
"341",-85.671,42.985,46.88,45.6318
"342",-85.417,43.177,43.5,60.8399
"343",-83.947,41.996,51.63,58.637
"344",-82.794,42.731,40.5,52.7122
"345",-83.006,42.513,40.37,41.4487
"346",-86.294,43.953,58.5,54.7081
"347",-84.892,44.311,56,52.4415
"348",-86.311,43.278,64.63,57.8079
"349",-83.183,42.463,34.63,46.848
"350",-85.853,42.894,52.88,48.2318
"351",-82.456,42.953,38.5,46.4053
"352",-85.95,46.289,60.86,54.1426
"353",-83.6,42.241,38.63,50.3348
"354",-83.209,42.228,37.13,51.4779
"355",-83.096,42.358,37.88,35.8144
"356",-83.001,42.431,36.25,52.0759
"357",-93.201,45.401,48.13,48.8911
"358",-93.214,45.142,46.38,50.0117
"359",-95.847,46.851,45.63,47.7896
"360",-92.524,46.705,42.63,49.9623
"361",-94.143,46.394,45.25,48.273
"362",-93.013,44.472,53.13,50.1104
