"","Title","Studio","Comic","Tomato","Budget","IMDb"
"1","Ant-Man","BV","Marvel",80,130,7.3
"2","Avengers","BV","Marvel",93,225,8.1
"3","Avengers: Age of Ultron","BV","Marvel",75,330.6,7.4
"4","Batman","WB","DC",71,35,7.6
"5","Batman and Robin","WB","DC",12,125,3.7
"6","Batman Begins","WB","DC",85,150,8.3
"7","Batman Forever","WB","DC",44,100,5.4
"8","Batman Returns","WB","DC",77,80,7
"9","Batman v Superman: Dawn of Justice","WB","DC",29,250,6.8
"10","Big Hero 6","BV","Marvel",89,165,7.9
"11","Blade","NL","Marvel",55,45,7.1
"12","Blade II","NL","Marvel",58,54,6.7
"13","Blade: Trinity","NL","Marvel",26,65,5.9
"14","Captain America: Civil War","BV","Marvel",89,250,8
"15","Captain America: The First Avenger","Par.","Marvel",79,140,6.9
"16","Captain America: The Winter Soldier","BV","Marvel",89,170,7.8
"17","Catwoman","WB","DC",10,100,3.3
"18","Daredevil","Fox","Marvel",44,80,5.3
"19","Deadpool","Fox","Marvel",84,58,8
"20","Doctor Strange","BV","Marvel",91,165,7.5
"21","Elektra","Fox","Marvel",10,65,4.8
"22","Fantastic Four (2005)","Fox","Marvel",27,87.5,5.7
"23","Fantastic Four (2015)","Fox","Marvel",9,120,4.3
"24","Fantastic Four: Rise of the Silver Surfer","Fox","Marvel",36,120,5.6
"25","Ghost Rider","Sony","Marvel",26,120,5.2
"26","Ghost Rider: Spirit of Vengeance","Sony","Marvel",14,57,4.3
"27","Green Lantern","WB","DC",25,200,5.6
"28","Guardians of the Galaxy","BV","Marvel",91,170,8.1
"29","Hulk","Uni.","Marvel",62,137,5.7
"30","Iron Man","Par.","Marvel",93,186,7.9
"31","Iron Man 2","Par.","Marvel",73,170,7
"32","Iron Man 3","BV","Marvel",77,200,7.2
"33","Kick ***","Lions","Marvel",76,28,7.7
"34","Kick *** 2","Uni.","Marvel",30,28,6.6
"35","Man of Steel","WB","DC",56,225,7.1
"36","Spider-Man","Sony","Marvel",90,139,7.3
"37","Spider-Man 2","Sony","Marvel",94,200,7.3
"38","Spider-Man 3","Sony","Marvel",63,258,6.2
"39","Suicide Squad","WB","DC",26,175,6.5
"40","Supergirl","Sony","DC",8,35,4.3
"41","Superman","WB","DC",94,55,7.3
"42","Superman II","WB","DC",83,54,6.8
"43","Superman III","WB","DC",23,39,4.9
"44","Superman IV: The Quest for Peace","WB","DC",11,17,3.7
"45","Superman Returns","WB","DC",76,232,6.1
"46","The Amazing Spider-Man","Sony","Marvel",74,220,7
"47","The Amazing Spider-Man 2","Sony","Marvel",53,200,6.8
"48","The Dark Knight","WB","DC",94,185,9
"49","The Dark Knight Rises","WB","DC",87,275,8.4
"50","The Green Hornet","Sony","DC",44,110,5.8
"51","The Incredible Hulk","Uni.","Marvel",66,137.5,6.8
"52","The Punisher","Lions","Marvel",30,33,6.5
"53","The Spirit","Lions","DC",14,60,4.8
"54","The Wolverine","Fox","Marvel",70,115,6.7
"55","Thor","Par.","Marvel",77,150,7
"56","Thor: The Dark World","BV","Marvel",66,150,7
"57","Watchmen","WB","DC",64,138,7.6
"58","X-Men","Fox","Marvel",82,75,7.4
"59","X-Men Origins: Wolverine","Fox","Marvel",37,150,6.7
"60","X-Men: Apocalypse","Fox","Marvel",48,178,7.2
"61","X-Men: Days of Future Past","Fox","Marvel",91,200,8
"62","X-Men: First Class","Fox","Marvel",87,160,7.8
"63","X-Men: The Last Stand","Fox","Marvel",57,210,6.7
"64","X2: X-Men United","Fox","Marvel",88,125,7.5
